排序,標題,縣市,區域,類別,備註,推薦者,搜尋連結,詳細地址,原始地址,評價,評論數,消費金額,標記刪除,商店網址,緯度,經度,flag,分享連結,flag2
2315,加油油漆行,台北市,文山區,油漆店,老闆是香港人人很好，櫃檯後有大布條(非本人文字),台派 Good 地圖,https://maps.google.com/?q=%E5%8A%A0%E6%B2%B9%E6%B2%B9%E6%BC%86%E8%A1%8C%20%E6%99%AF%E8%88%88%E8%B7%AF234%E8%99%9F,景興路234號,116台北市文山區景興路234號,5,8,,,,24.9907132,121.5431531,,https://maps.app.goo.gl/4YxEryfFKqPjdNzNA,
2316,北義極品咖啡館,台北市,萬華區,咖啡廳,門口貼有「台灣尚勇」春聯,台派 Good 地圖,https://maps.google.com/?q=%E5%8C%97%E7%BE%A9%E6%A5%B5%E5%93%81%E5%92%96%E5%95%A1%E9%A4%A8%20%E7%92%B0%E6%B2%B3%E5%8D%97%E8%B7%AF%E4%BA%8C%E6%AE%B5227%E8%99%9F%E8%99%9F1%E6%A8%93,環河南路二段227號號1樓,108022台北市萬華區環河南路二段227號號1樓,4.3,532,400-600,,,25.0316084,121.4912501,,https://maps.app.goo.gl/3QcTyv7MA6dQxugPA,
2317,野火法律事務所暨台灣公民人權聯盟,台北市,大安區,非政府組織,"為以下選區之固定罷免連署點
台北第6選區-羅智強
代收全國藍委選區之罷免連署書",台派 Good 地圖,https://maps.google.com/?q=%E9%87%8E%E7%81%AB%E6%B3%95%E5%BE%8B%E4%BA%8B%E5%8B%99%E6%89%80%E6%9A%A8%E5%8F%B0%E7%81%A3%E5%85%AC%E6%B0%91%E4%BA%BA%E6%AC%8A%E8%81%AF%E7%9B%9F%20106,"5樓, No. 61號信義路四段大安區台北市106","5樓, No. 61號信義路四段大安區台北市106",5,22,,,,25.0335914,121.5454609,,https://maps.app.goo.gl/UxxSUX7ZxaKqZxGD7,
2318,白浪春禾-台北錦州店（專利冷萃現泡茶）行天宮必喝手搖飲！,台北市,中山區,冰品飲料店,門口貼有 六順和春 春聯,台派 Good 地圖,https://maps.google.com/?q=%E7%99%BD%E6%B5%AA%E6%98%A5%E7%A6%BE-%E5%8F%B0%E5%8C%97%E9%8C%A6%E5%B7%9E%E5%BA%97%EF%BC%88%E5%B0%88%E5%88%A9%E5%86%B7%E8%90%83%E7%8F%BE%E6%B3%A1%E8%8C%B6%EF%BC%89%E8%A1%8C%E5%A4%A9%E5%AE%AE%E5%BF%85%E5%96%9D%E6%89%8B%E6%90%96%E9%A3%B2%EF%BC%81%20%E9%8C%A6%E5%B7%9E%E8%A1%97298%E8%99%9F%E4%B8%89%E8%A7%92%E7%AA%97%E5%BA%97%E9%9D%A2,錦州街298號三角窗店面,104台北市中山區錦州街298號三角窗店面,4.5,144,1-200,,,25.0602239,121.5359728,,https://maps.app.goo.gl/FAetZMyams24t5Zk8,
2319,Este día 這一天異國廚房 古巴三明治（台北總店）,台北市,中正區,餐廳,門外貼有「台灣尚勇」春聯,台派 Good 地圖,https://maps.google.com/?q=Este%2Bd%C3%ADa%2B%E9%80%99%E4%B8%80%E5%A4%A9%E7%95%B0%E5%9C%8B%E5%BB%9A%E6%88%BF%2B%E5%8F%A4%E5%B7%B4%E4%B8%89%E6%98%8E%E6%B2%BB%EF%BC%88%E5%8F%B0%E5%8C%97%E7%B8%BD%E5%BA%97%EF%BC%89%20%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B5244%E5%B7%B715%E8%99%9F,羅斯福路三段244巷15號,100台北市中正區羅斯福路三段244巷15號,4.9,1953,200-400,,,25.0167308,121.5305679,,https://maps.app.goo.gl/DtZUwezZU3uDLLkA6,
2320,和成沙發,台北市,信義區,家居裝修店,罷免羅智強連署站 https://www.facebook.com/share/p/1A12e2Bakf/,台派 Good 地圖,https://maps.google.com/?q=%E5%92%8C%E6%88%90%E6%B2%99%E7%99%BC%20%E5%B4%87%E5%BE%B7%E8%A1%9747%E8%99%9F,崇德街47號,110台北市信義區崇德街47號,5,2,,,,25.0244831,121.5544014,,https://maps.app.goo.gl/Hsy9hFbBbwSejAs47,
2321,濯衫處自助洗衣｜More Than A Laundry Ltd.,台北市,信義區,洗衣店,店門手寫黑板上有紀念南榕的文字👍,台派 Good 地圖,https://maps.google.com/?q=%E6%BF%AF%E8%A1%AB%E8%99%95%E8%87%AA%E5%8A%A9%E6%B4%97%E8%A1%A3%EF%BD%9CMore%2BThan%2BA%2BLaundry%2BLtd.%20%E5%A4%A7%E9%81%93%E8%B7%AF131%E8%99%9F%E4%B8%80%20%E6%A8%93,大道路131號一 樓,110台北市信義區大道路131號一 樓,5,9,,,,25.0391188,121.5834239,,https://maps.app.goo.gl/5nRfKZqUhM2cfbEa8,
2322,名山牙醫診所,台北市,大安區,當地醫療服務,罷免羅智強聯署站 https://www.facebook.com/share/p/16JXbgchcZ/,台派 Good 地圖,https://maps.google.com/?q=%E5%90%8D%E5%B1%B1%E7%89%99%E9%86%AB%E8%A8%BA%E6%89%80%20%E5%BE%A9%E8%88%88%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B5380%E8%99%9F1%E6%A8%93,復興南路一段380號1樓,106台北市大安區復興南路一段380號1樓,5,110,,,,25.0341439,121.543263,,https://maps.app.goo.gl/E1L7dVL88Moj9Vf28,
2323,天籟之音音樂藝術中心-東湖教室,台北市,內湖區,音樂學校,貼蔡其昌的台灣尚勇,台派 Good 地圖,https://maps.google.com/?q=%E5%A4%A9%E7%B1%9F%E4%B9%8B%E9%9F%B3%E9%9F%B3%E6%A8%82%E8%97%9D%E8%A1%93%E4%B8%AD%E5%BF%83-%E6%9D%B1%E6%B9%96%E6%95%99%E5%AE%A4%20%E6%9D%B1%E6%B9%96%E8%B7%AF113%E5%B7%B795%E5%BC%84164%E8%99%9F,東湖路113巷95弄164號,114台北市內湖區東湖路113巷95弄164號,5,102,,,,25.0696445,121.6144315,,https://maps.app.goo.gl/BcqmNyEyTjGRHzJcA,
2324,新一企業社 新一噴墨,台北市,萬華區,商用打印機,"罷免立委羅明才連署站
https://www.facebook.com/share/p/1QSk6YaTFY/",台派 Good 地圖,https://maps.google.com/?q=%E6%96%B0%E4%B8%80%E4%BC%81%E6%A5%AD%E7%A4%BE%2B%E6%96%B0%E4%B8%80%E5%99%B4%E5%A2%A8%20%E6%BC%A2%E4%B8%AD%E8%A1%97171%E5%B7%B75%E8%99%9F,漢中街171巷5號,108007台北市萬華區漢中街171巷5號,5,7,,,,25.041259,121.507231,,https://maps.app.goo.gl/XiBczNa8cLEomgXx8,
2325,半路咖啡 Halfway Cafe,台北市,大安區,咖啡廳,支持大罷免,台派 Good 地圖,https://maps.google.com/?q=%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1%2BHalfway%2BCafe%20%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B5269%E5%B7%B751%E5%BC%849%E8%99%9F,羅斯福路三段269巷51弄9號,106台北市大安區羅斯福路三段269巷51弄9號,4.3,567,1-200,,,25.0201344,121.5316095,,https://maps.app.goo.gl/CiiKjK3bnagwQrhe8,
2326,龍丼亭,台北市,文山區,日本菜,罷免藍委友善店家,台派 Good 地圖,https://maps.google.com/?q=%E9%BE%8D%E4%B8%BC%E4%BA%AD%20%E8%88%88%E9%9A%86%E8%B7%AF%E4%B8%89%E6%AE%B536%E5%B7%B710%E8%99%9F,興隆路三段36巷10號,116台北市文山區興隆路三段36巷10號,4.1,619,1-200,,,25.0000627,121.5551828,,https://maps.app.goo.gl/vuFtRDaaz5rVfJq68,
2327,日本東洋輪胎宗仁店,台北市,信義區,汽車零件店,修車廠叔叔阿姨都是堅定台派,台派 Good 地圖,https://maps.google.com/?q=%E6%97%A5%E6%9C%AC%E6%9D%B1%E6%B4%8B%E8%BC%AA%E8%83%8E%E5%AE%97%E4%BB%81%E5%BA%97%20%E5%90%B3%E8%88%88%E8%A1%97156%E5%B7%B749%E8%99%9F,吳興街156巷49號,110台北市信義區吳興街156巷49號,5,1,,,,25.0282109,121.5597256,,https://maps.app.goo.gl/fFvZMjHQscSgbJNT9,
